itemId,sourceMcId,sourceMcTitle,description,targetDetectedMcIds,targetSplitMcIds,shouldSplit,caseType,split
1,108,Штукатурные работы,"штукатурка под обои в офис. Делаю ремонт штукатурки, поможем с материалом. с опытом 8 лет. без скрытых доплат. оперативный выезд.",[108],[],False,single_direct,train
2,101,Ремонт квартир и домов под ключ,Косметический ремонт под ключ в доме. Отдельно демонтаж сантехники делаем отдельно цементная штукатурка отдельно декоративные конструкции из гкл делаем отдельно потолок в коридоре. частный мастер с опытом 7 лет. стоимость после осмотра. можно сегодня.,"[101, 111, 108, 110, 104]","[111, 108, 110, 104]",True,turnkey_split,test
3,109,Напольные покрытия,напольные покрытия /монтаж перегородок выезд звоните,"[109, 110]",[],False,noisy_short,val
4,102,Сантехника,"Монтаж сантехники в коттедж. Делаю монтаж бойлера, смета после осмотра. опыт 5 лет. без скрытых доплат. отвечу на вопросы.",[102],[],False,single_direct,train
5,101,Ремонт квартир и домов под ключ,"Комплекс работ по ремонту во вторичке. гкл, гкл и другие этапы выполняем как часть ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. работаем с 2016 года. без посредников.","[101, 110, 111]",[],False,turnkey_no_split,train
6,106,Поклейка обоев,"Оклейка стен обоями в коттедж. Делаю поклейка стеклообоев, с гарантией. частный мастер с опытом 7 лет. цены адекватные. есть свободные даты.",[106],[],False,single_direct,train
7,109,Напольные покрытия,стяжка пола /бесщелевой потолок +укладка плитки на балконе бригада лс,"[104, 105, 109]",[105],True,noisy_short,train
8,101,Ремонт квартир и домов под ключ,Полное обновление квартиры в доме. Отдельно гидроизоляция под плитку делаем отдельно вызов сантехника можем отдельно установка выключателей отдельно покраска дверей. работаем с 2016 года. без скрытых доплат. оперативный выезд.,"[101, 105, 102, 103, 107]","[105, 102, 103, 107]",True,turnkey_split,test
9,101,Ремонт квартир и домов под ключ,Выполняем весь комплекс работ в офисе. Выполняем отдельно плитка в ванной при необходимости отдельно укладка виниловой плитки можем отдельно механизированная штукатурка. с опытом 8 лет. без скрытых доплат. звоните.,"[101, 105, 109, 108]","[105, 109, 108]",True,turnkey_split,train
10,101,Ремонт квартир и домов под ключ,"Комплексная отделка во вторичке. Установка розеток, укладка клинкера и другие этапы выполняем под ключ без дробления на этапы. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. опыт более 10 лет. по договоренности.","[101, 103, 105, 110]",[],False,turnkey_no_split,val
11,108,Штукатурные работы,"Штукатурные работы в офис. Делаю штукатурка по маякам, с гарантией. с опытом 8 лет. цены адекватные. оперативный выезд.",[108],[],False,single_direct,train
